0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
29.990295,29.372046,28.723173,28.042112,27.327131,26.57634,25.787731,24.9593,24.089241,23.17634,22.220552,21.223864,20.19138,19.132517,18.061941,16.999704,15.97006,14.998736,14.109152,13.318728,12.636569,12.06317,11.591921,11.211554,10.90864,10.669552,10.481723,10.334268,10.218162,10.126149,10.052524,9.992866,9.943798,9.902756,9.867808,9.837507,9.810776,9.786816,9.76504,9.745028,9.726477,9.709182,9.693014,9.677909,9.663859,9.650918,9.639227,9.629058,9.620934,9.615868,9.615868
28.962038,28.227146,27.456245,26.64714,25.797491,24.904993,23.96768,22.984482,21.956078,20.886106,19.78263,18.659544,17.537296,16.442158,15.403483,14.4492655,13.601317,12.871852,12.262643,11.766647,11.37102,11.060258,10.818673,10.631931,10.487776,10.376192,10.289252,10.220819,10.166217,10.121922,10.0853,10.054397,10.027763,10.004336,9.983333,9.964185,9.946481,9.929926,9.914315,9.899509,9.885423,9.872008,9.859254,9.847177,9.835825,9.825287,9.815706,9.807333,9.800613,9.796405,9.796405
27.40448,26.543846,25.640167,24.690567,23.692535,22.644659,21.54779,20.406729,19.232237,18.042833,16.865349,15.733061,14.680937,13.739117,12.927133,12.251256,11.705652,11.276082,10.944227,10.691207,10.499779,10.355349,10.246176,10.163137,10.099312,10.049533,10.009992,9.9779,9.951228,9.928507,9.908671,9.890958,9.874818,9.859858,9.845799,9.832451,9.819678,9.807396,9.79555,9.784115,9.773086,9.762473,9.752305,9.742622,9.733487,9.724983,9.717236,9.710451,9.704991,9.701555,9.701555
26.301554,25.283106,24.212248,23.086687,21.9067,20.677372,19.411371,18.131496,16.871342,15.6722765,14.576247,13.616624,12.811231,12.16069,11.651883,11.263825,10.973199,10.7580805,10.599792,10.483394,10.397429,10.333357,10.284929,10.247636,10.218249,10.194472,10.174677,10.157713,10.142767,10.129271,10.11682,10.105139,10.094031,10.0833645,10.073051,10.063036,10.053284,10.04378,10.034523,10.025521,10.016792,10.008364,10.000267,9.992547,9.985257,9.978468,9.972282,9.966863,9.962493,9.959732,9.959732
31.001724,27.577585,23.277554,18.288017,14.056754,11.778731,10.817789,10.41185,10.205528,10.067449,9.951813,9.842732,9.73465,9.625619,9.514982,9.402557,9.288338,9.172387,9.054797,8.935671,8.815119,8.693254,8.570194,8.4460535,8.320953,8.195013,8.068356,7.9411016,7.813375,7.685301,7.557003,7.428607,7.30024,7.1720285,7.0441027,6.9165945,6.7896404,6.6633844,6.537983,6.41361,6.290468,6.1688046,6.048932,5.931266,5.816378,5.7050886,5.5986447,5.4991584,5.410995,5.34607,5.34607
29.99344,25.75576,20.58275,15.533203,12.544831,11.308078,10.831746,10.619709,10.493692,10.3947735,10.303692,10.214105,10.123908,10.032425,9.939463,9.845,9.749077,9.651757,9.553112,9.4532175,9.35215,9.2499895,9.146812,9.042699,8.937728,8.831979,8.725532,8.618465,8.5108595,8.402794,8.294349,8.185604,8.07664,7.967538,7.858381,7.7492533,7.640245,7.5314527,7.4229836,7.314964,7.2075467,7.1009316,6.9953866,6.891289,6.7891855,6.689894,6.594682,6.5056596,6.426936,6.3690763,6.3690763
28.737846,23.603277,17.774734,13.575804,11.778767,11.144,10.902995,10.782667,10.698149,10.623686,10.551415,10.47892,10.405466,10.330852,10.255046,10.178078,10.099991,10.020838,9.940673,9.8595495,9.777525,9.694652,9.610985,9.526578,9.441486,9.3557625,9.269459,9.18263,9.095326,9.007602,8.919507,8.831095,8.742415,8.653522,8.564466,8.475304,8.386093,8.296898,8.207789,8.118857,8.030213,7.942009,7.8544607,7.767883,7.682751,7.599798,7.5201793,7.4458055,7.3802433,7.3321795,7.3321795
27.315214,21.103231,15.243275,12.419123,11.486903,11.18758,11.06732,10.995658,10.936691,10.880519,10.824385,10.7675295,10.70976,10.651048,10.591415,10.530897,10.469532,10.407362,10.344426,10.280765,10.216419,10.151426,10.085828,10.01966,9.952961,9.885769,9.81812,9.750051,9.681598,9.612796,9.543679,9.474284,9.404644,9.334795,9.2647705,9.194608,9.124345,9.054027,8.983703,8.913436,8.843308,8.773436,8.703987,8.635217,8.567517,8.50151,8.438183,8.379164,8.327384,8.28959,8.28959
39.273045,38.110382,36.854336,35.48518,33.981533,32.321064,30.482258,28.447662,26.20932,23.776516,21.184853,18.503307,15.833542,13.296137,11.004571,9.037451,7.423294,6.144397,5.1539145,4.394817,3.8130918,3.3638482,3.0124567,2.7332993,2.5078208,2.3226812,2.168277,2.0376456,1.9256848,1.8286086,1.7435687,1.6683918,1.6013978,1.5412706,1.486967,1.4376522,1.3926525,1.3514214,1.3135157,1.2785782,1.2463268,1.2165487,1.1890987,1.163905,1.1409789,1.1204352,1.1025229,1.0876721,1.0765644,1.0702373,1.0702373
35.84608,33.17365,30.190487,26.862951,23.214186,19.36771,15.571143,12.145648,9.351128,7.270172,5.8165426,4.8303914,4.1597314,3.6917865,3.3523076,3.095054,2.89179,2.7252443,2.5846937,2.463319,2.3566551,2.2616763,2.1762607,2.0988643,2.0283267,1.9637468,1.9044064,1.8497199,1.7991997,1.7524347,1.7090733,1.668812,1.6313875,1.5965697,1.5641571,1.5339736,1.5058647,1.4796968,1.4553542,1.4327399,1.4117745,1.3923982,1.374573,1.3582869,1.3435621,1.3304671,1.3191365,1.3098034,1.3028492,1.2988857,1.2988857
