No.,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,119.96118,117.48818,114.89269,112.16845,109.308525,106.30536,103.150925,99.8372,96.356964,92.70536,88.88221,84.895454,80.76552,76.53007,72.247765,67.99882,63.88024,59.994946,56.436607,53.274914,50.546276,48.25268,46.367683,44.846214,43.63456,42.678207,41.92689,41.33707,40.872646,40.504597,40.210094,39.971462,39.775192,39.611023,39.471233,39.35003,39.243103,39.147263,39.06016,38.98011,38.905907,38.836727,38.772057,38.711636,38.655437,38.603672,38.556908,38.51623,38.483734,38.46347,38.46347,29.990295,29.372046,28.723173,28.042112,27.327131,26.57634,25.787731,24.9593,24.089241,23.17634,22.220552,21.223864,20.19138,19.132517,18.061941,16.999704,15.97006,14.998736,14.109152,13.318728,12.636569,12.06317,11.591921,11.211554,10.90864,10.669552,10.481723,10.334268,10.218162,10.126149,10.052524,9.992866,9.943798,9.902756,9.867808,9.837507,9.810776,9.786816,9.76504,9.745028,9.726477,9.709182,9.693014,9.677909,9.663859,9.650918,9.639227,9.629058,9.620934,9.615868,9.615868,0,0.27476308,0.5834674,0.9313056,1.3242054,1.7688507,2.2726393,2.8435316,3.4897194,4.219025,5.0379233,5.950102,6.9545608,8.043462,9.200252,10.398902,11.605186,12.780438,13.887179,14.894958,15.7844095,16.548393,17.190384,17.721275,18.155926,18.510319,18.799667,19.03739,19.234737,19.400822,19.542824,19.66631,19.775518,19.873648,19.963076,20.045551,20.122337,20.194323,20.262108,20.326065,20.386393,20.443136,20.496223,20.545465,20.59057,20.631119,20.66653,20.695978,20.71821,20.73116,20.73116,0,0.54952615,1.1669348,1.8626112,2.6484108,3.5377014,4.5452785,5.687063,6.979439,8.43805,10.075847,11.900204,13.9091215,16.086924,18.400503,20.797804,23.210373,25.560877,27.774359,29.789915,31.568819,33.096786,34.380768,35.44255,36.31185,37.020638,37.599335,38.07478,38.469475,38.801643,39.085648,39.33262,39.551037,39.747295,39.92615,40.091103,40.244675,40.388645,40.524216,40.65213,40.772785,40.886272,40.992447,41.09093,41.18114,41.262238,41.33306,41.391956,41.43642,41.46232,41.46232,8.330638,8.235225,8.140734,8.048172,7.9587045,7.873664,7.7945476,7.7230086,7.6608224,7.6098237,7.5717993,7.5483236,7.540539,7.548883,7.572831,7.6107235,7.6597905,7.7164373,7.7767587,7.837135,7.8947163,7.9476566,7.995085,8.036897,8.07349,8.10552,8.133719,8.158793,8.181361,8.201937,8.22093,8.23866,8.255365,8.271223,8.286357,8.30085,8.314754,8.3280945,8.340875,8.353082,8.364686,8.375644,8.3859,8.395382,8.404008,8.411677,8.418265,8.423621,8.42754,8.429729,8.429729
2,115.84815,112.908585,109.82498,106.58856,103.189964,99.61997,95.87072,91.93793,87.82431,83.544426,79.13052,74.638176,70.149185,65.76863,61.613934,57.797062,54.40527,51.487408,49.05057,47.06659,45.48408,44.24103,43.274693,42.527725,41.951103,41.50477,41.15701,40.883278,40.664867,40.487686,40.3412,40.217587,40.111053,40.017345,39.93333,39.85674,39.785923,39.719704,39.65726,39.598038,39.54169,39.488033,39.437016,39.388706,39.3433,39.301147,39.262825,39.229332,39.202454,39.18562,39.18562,28.962038,28.227146,27.456245,26.64714,25.797491,24.904993,23.96768,22.984482,21.956078,20.886106,19.78263,18.659544,17.537296,16.442158,15.403483,14.4492655,13.601317,12.871852,12.262643,11.766647,11.37102,11.060258,10.818673,10.631931,10.487776,10.376192,10.289252,10.220819,10.166217,10.121922,10.0853,10.054397,10.027763,10.004336,9.983333,9.964185,9.946481,9.929926,9.914315,9.899509,9.885423,9.872008,9.859254,9.847177,9.835825,9.825287,9.815706,9.807333,9.800613,9.796405,9.796405,0,0.38051686,0.81198996,1.3021588,1.8595651,2.4933162,3.2125897,4.025743,4.93889,5.953854,7.065605,8.259643,9.510282,10.781117,12.028637,13.2087145,14.284107,15.230224,16.03723,16.70841,17.256258,17.698103,18.05254,18.337086,18.566998,18.754879,18.910776,19.042494,19.155987,19.25574,19.345085,19.426489,19.501745,19.572157,19.638647,19.701855,19.762205,19.819958,19.875248,19.9281,19.978464,20.026209,20.071138,20.112995,20.151445,20.186073,20.216343,20.241516,20.260511,20.271568,20.271568,0,0.7610337,1.6239799,2.6043177,3.7191303,4.9866323,6.4251795,8.051486,9.87778,11.907708,14.13121,16.519285,19.020563,21.562235,24.057274,26.417429,28.568214,30.460447,32.07446,33.41682,34.512516,35.396206,36.10508,36.67417,37.133995,37.509758,37.821552,38.084988,38.311974,38.51148,38.69017,38.852978,39.00349,39.144314,39.277294,39.40371,39.52441,39.639915,39.750496,39.8562,39.95693,40.052418,40.142277,40.22599,40.30289,40.372147,40.432686,40.483032,40.521023,40.543137,40.543137,8.045011,7.946573,7.852288,7.763694,7.6825156,7.6106415,7.550075,7.5028405,7.4708242,7.455545,7.4578433,7.477552,7.513216,7.562021,7.6200333,7.682772,7.745951,7.8061323,7.861076,7.909738,7.9520216,7.988434,8.019781,8.046949,8.07077,8.091964,8.111119,8.128698,8.145057,8.160461,8.175107,8.189135,8.2026415,8.2156925,8.228328,8.240566,8.252413,8.263857,8.2748785,8.285447,8.295525,8.30506,8.313998,8.32227,8.329798,8.336489,8.342236,8.346902,8.350312,8.352215,8.352215
3,109.61792,106.175385,102.56067,98.76227,94.77014,90.578636,86.19116,81.626915,76.92895,72.17133,67.461395,62.932243,58.723747,54.956467,51.70853,49.005024,46.82261,45.10433,43.77691,42.764828,41.999115,41.421394,40.984703,40.65255,40.397247,40.19813,40.039967,39.9116,39.804913,39.714027,39.634686,39.56383,39.49927,39.43943,39.383198,39.329803,39.278713,39.229584,39.1822,39.13646,39.092342,39.049892,39.00922,38.97049,38.93395,38.899933,38.868942,38.841805,38.819965,38.80622,38.80622,27.40448,26.543846,25.640167,24.690567,23.692535,22.644659,21.54779,20.406729,19.232237,18.042833,16.865349,15.733061,14.680937,13.739117,12.927133,12.251256,11.705652,11.276082,10.944227,10.691207,10.499779,10.355349,10.246176,10.163137,10.099312,10.049533,10.009992,9.9779,9.951228,9.928507,9.908671,9.890958,9.874818,9.859858,9.845799,9.832451,9.819678,9.807396,9.79555,9.784115,9.773086,9.762473,9.752305,9.742622,9.733487,9.724983,9.717236,9.710451,9.704991,9.701555,9.701555,0,0.52289593,1.1203396,1.802981,2.581571,3.4657853,4.462282,5.571876,6.7860193,8.083427,9.428444,10.773079,12.063658,13.250675,14.298103,15.188386,15.921788,16.511688,16.978607,17.345116,17.632513,17.859167,18.040026,18.18678,18.308348,18.411383,18.500805,18.580204,18.652182,18.71861,18.780828,18.839779,18.89612,18.9503,19.002604,19.053205,19.102184,19.149551,19.195263,19.239222,19.281294,19.321299,19.35902,19.394201,19.426533,19.455645,19.48107,19.502193,19.518118,19.527386,19.527386,0,1.0457919,2.2406793,3.605962,5.163142,6.9315705,8.924564,11.143752,13.572039,16.166855,18.856888,21.546158,24.127316,26.50135,28.596207,30.376772,31.843576,33.023376,33.957214,34.69023,35.265026,35.718334,36.08005,36.37356,36.616695,36.822765,37.00161,37.160408,37.304363,37.43722,37.561657,37.679558,37.79224,37.9006,38.005207,38.10641,38.20437,38.299103,38.390526,38.478443,38.562588,38.642597,38.71804,38.788403,38.853065,38.91129,38.96214,39.004387,39.036236,39.05477,39.05477,7.612355,7.51854,7.433474,7.3593187,7.2983627,7.252901,7.2250204,7.2162795,7.227293,7.257294,7.3038316,7.3628163,7.429054,7.4971642,7.562566,7.622123,7.6742887,7.7188253,7.7563434,7.7878675,7.8145256,7.8373656,7.8572783,7.8749776,7.891016,7.90581,7.919666,7.9328065,7.9453917,7.9575324,7.9693055,7.98076,7.991927,8.002821,8.013446,8.023793,8.033851,8.043596,8.053003,8.062038,8.070661,8.078825,8.086479,8.093562,8.100006,8.10573,8.110641,8.114623,8.11753,8.11915,8.11915
4,105.206215,101.13242,96.84899,92.34675,87.6268,82.70949,77.645485,72.525986,67.48537,62.689106,58.30499,54.466496,51.244923,48.64276,46.607533,45.0553,43.892796,43.032322,42.399166,41.933575,41.589718,41.333427,41.139717,40.990543,40.872997,40.77789,40.698708,40.63085,40.571068,40.517082,40.46728,40.420555,40.376125,40.333458,40.292206,40.252144,40.213135,40.17512,40.138092,40.102085,40.06717,40.033455,40.00107,39.97019,39.94103,39.91387,39.88913,39.86745,39.84997,39.83893,39.83893,26.301554,25.283106,24.212248,23.086687,21.9067,20.677372,19.411371,18.131496,16.871342,15.6722765,14.576247,13.616624,12.811231,12.16069,11.651883,11.263825,10.973199,10.7580805,10.599792,10.483394,10.397429,10.333357,10.284929,10.247636,10.218249,10.194472,10.174677,10.157713,10.142767,10.129271,10.11682,10.105139,10.094031,10.0833645,10.073051,10.063036,10.053284,10.04378,10.034523,10.025521,10.016792,10.008364,10.000267,9.992547,9.985257,9.978468,9.972282,9.966863,9.962493,9.959732,9.959732,0,0.73004293,1.5662535,2.5204911,3.60122,4.809797,6.1356745,7.551728,9.012201,10.456268,11.818333,13.0420475,14.091809,14.956675,15.646497,16.183989,16.596853,16.91223,17.153753,17.340576,17.487503,17.605623,17.703072,17.785727,17.85779,17.922253,17.981222,18.036179,18.088156,18.137867,18.185799,18.232273,18.277493,18.321575,18.364576,18.406498,18.447306,18.48693,18.525278,18.562223,18.597622,18.631296,18.663046,18.69264,18.71981,18.744238,18.765533,18.783188,18.796465,18.80418,18.80418,0,1.4600859,3.132507,5.0409822,7.20244,9.619594,12.271349,15.103456,18.024403,20.912537,23.636665,26.084095,28.183619,29.91335,31.292994,32.367977,33.193707,33.82446,34.307507,34.681152,34.975006,35.211246,35.406143,35.571453,35.71558,35.844505,35.962444,36.072357,36.17631,36.275734,36.371597,36.464546,36.554985,36.64315,36.729153,36.812996,36.89461,36.97386,37.050556,37.124447,37.195244,37.262592,37.32609,37.38528,37.43962,37.488476,37.531067,37.566376,37.59293,37.60836,37.60836,7.305987,7.225875,7.160695,7.113105,7.0855336,7.079769,7.096401,7.1342287,7.189873,7.257929,7.3318276,7.4051867,7.473067,7.532602,7.5828834,7.6243925,7.6583476,7.686197,7.7093177,7.7288804,7.7458143,7.760828,7.7744446,7.787045,7.7988997,7.810201,7.821083,7.8316364,7.841923,7.8519826,7.861839,7.871503,7.8809786,7.890261,7.899341,7.908204,7.9168305,7.9251976,7.933278,7.9410405,7.948448,7.955461,7.9620314,7.9681077,7.97363,7.97853,7.982727,7.986125,7.9886,7.9899755,7.9899755
5,124.0069,110.31034,93.110214,73.15207,56.227016,47.114925,43.271156,41.6474,40.822113,40.269794,39.80725,39.37093,38.9386,38.502476,38.05993,37.61023,37.15335,36.68955,36.21919,35.742683,35.260475,34.773018,34.280777,33.784214,33.283813,32.780052,32.273422,31.764406,31.2535,30.741203,30.228012,29.714428,29.20096,28.688114,28.17641,27.666378,27.158562,26.653538,26.151932,25.65444,25.161873,24.675219,24.195728,23.725063,23.265512,22.820354,22.394579,21.996634,21.64398,21.38428,21.38428,31.001724,27.577585,23.277554,18.288017,14.056754,11.778731,10.817789,10.41185,10.205528,10.067449,9.951813,9.842732,9.73465,9.625619,9.514982,9.402557,9.288338,9.172387,9.054797,8.935671,8.815119,8.693254,8.570194,8.4460535,8.320953,8.195013,8.068356,7.9411016,7.813375,7.685301,7.557003,7.428607,7.30024,7.1720285,7.0441027,6.9165945,6.7896404,6.6633844,6.537983,6.41361,6.290468,6.1688046,6.048932,5.931266,5.816378,5.7050886,5.5986447,5.4991584,5.410995,5.34607,5.34607,0,2.0395038,5.4438806,10.433189,15.313467,18.207582,19.607946,20.36114,20.879625,21.317503,21.728579,22.131502,22.53278,22.934694,23.33801,23.74295,24.149525,24.557667,24.967281,25.378252,25.790459,26.203783,26.618093,27.033266,27.44917,27.865671,28.282637,28.699934,29.117422,29.534962,29.952408,30.369614,30.786425,31.202679,31.618198,32.032787,32.446217,32.85821,33.268417,33.67637,34.08142,34.482662,34.878757,35.267746,35.64668,36.01113,36.354305,36.665516,36.926723,37.102417,37.102417,0,4.0790076,10.887761,20.866379,30.626934,36.415165,39.215893,40.72228,41.75925,42.635006,43.457157,44.263004,45.06556,45.86939,46.67602,47.4859,48.29905,49.115334,49.934563,50.756504,51.580917,52.407566,53.236187,54.066532,54.89834,55.731342,56.565273,57.399868,58.234844,59.069923,59.904816,60.739227,61.57285,62.405357,63.236397,64.065575,64.89243,65.71642,66.536835,67.35274,68.16284,68.965324,69.757515,70.53549,71.29336,72.02226,72.70861,73.33103,73.85345,74.204834,74.204834,8.611589,8.22697,7.978176,7.9781127,8.158395,8.329532,8.451593,8.548053,8.634765,8.718042,8.800109,8.881732,8.963175,9.044531,9.125832,9.207086,9.288295,9.369459,9.450577,9.531645,9.61266,9.693622,9.774525,9.855367,9.936145,10.016857,10.097498,10.178065,10.258554,10.338962,10.419281,10.499506,10.579629,10.659641,10.739529,10.819273,10.8988495,10.978221,11.057333,11.136106,11.214414,11.292074,11.368803,11.444169,11.517516,11.587838,11.653597,11.712409,11.760477,11.791246,11.791246
6,119.97376,103.02304,82.331,62.132812,50.179325,45.23231,43.326984,42.478836,41.97477,41.579094,41.214767,40.85642,40.495632,40.1297,39.75785,39.38,38.996307,38.60703,38.21245,37.81287,37.4086,36.999958,36.58725,36.170795,35.75091,35.327915,34.902126,34.47386,34.043438,33.611176,33.177395,32.742416,32.30656,31.870152,31.433523,30.997013,30.56098,30.12581,29.691935,29.259855,28.830187,28.403727,27.981546,27.565157,27.156742,26.759577,26.378729,26.022638,25.707745,25.476305,25.476305,29.99344,25.75576,20.58275,15.533203,12.544831,11.308078,10.831746,10.619709,10.493692,10.3947735,10.303692,10.214105,10.123908,10.032425,9.939463,9.845,9.749077,9.651757,9.553112,9.4532175,9.35215,9.2499895,9.146812,9.042699,8.937728,8.831979,8.725532,8.618465,8.5108595,8.402794,8.294349,8.185604,8.07664,7.967538,7.858381,7.7492533,7.640245,7.5314527,7.4229836,7.314964,7.2075467,7.1009316,6.9953866,6.891289,6.7891855,6.689894,6.594682,6.5056596,6.426936,6.3690763,6.3690763,0,2.9760666,7.758128,13.35679,17.02232,18.719233,19.527704,20.023813,20.417524,20.778421,21.129232,21.477432,21.825487,22.174198,22.52379,22.874292,23.225658,23.577818,23.930689,24.28419,24.63823,24.992725,25.347586,25.702726,26.058056,26.413485,26.768925,27.124287,27.479479,27.834412,28.188992,28.543121,28.896706,29.24964,29.60181,29.95309,30.30333,30.652346,30.999895,31.345652,31.689144,32.02969,32.36626,32.697296,33.0204,33.331875,33.62594,33.893356,34.1185,34.270683,34.270683,0,5.952133,15.516256,26.71358,34.04464,37.438465,39.05541,40.047626,40.83505,41.556843,42.258465,42.954865,43.650974,44.348396,45.04758,45.748585,46.451317,47.155636,47.861378,48.56838,49.27646,49.98545,50.69517,51.405453,52.11611,52.82697,53.53785,54.248573,54.958958,55.668823,56.377983,57.086243,57.79341,58.49928,59.20362,59.90618,60.60666,61.30469,61.99979,62.691303,63.37829,64.05938,64.73252,65.39459,66.0408,66.66375,67.25188,67.78671,68.237,68.54137,68.54137,8.3315115,7.981063,7.872466,8.024998,8.213098,8.3409195,8.433181,8.51209,8.586449,8.659221,8.731368,8.803205,8.874832,8.946284,9.0175705,9.088693,9.159649,9.230437,9.301056,9.371502,9.441772,9.511865,9.581778,9.651507,9.721051,9.790406,9.859571,9.928542,9.997316,10.06589,10.134261,10.202424,10.270374,10.338105,10.405608,10.472873,10.539882,10.60661,10.673022,10.739059,10.804637,10.869617,10.933791,10.996829,11.058219,11.117158,11.172394,11.221949,11.262622,11.288822,11.288822
7,114.951385,94.41311,71.09894,54.303215,47.115067,44.576,43.61198,43.13067,42.792595,42.494743,42.20566,41.91568,41.621864,41.323406,41.020184,40.71231,40.399963,40.08335,39.76269,39.438198,39.1101,38.778606,38.44394,38.10631,37.765945,37.42305,37.077835,36.73052,36.381306,36.030407,35.67803,35.32438,34.96966,34.614086,34.257866,33.901215,33.544373,33.18759,32.831158,32.47543,32.120853,31.768036,31.417843,31.071531,30.731005,30.399193,30.080717,29.783222,29.520973,29.328718,29.328718,28.737846,23.603277,17.774734,13.575804,11.778767,11.144,10.902995,10.782667,10.698149,10.623686,10.551415,10.47892,10.405466,10.330852,10.255046,10.178078,10.099991,10.020838,9.940673,9.8595495,9.777525,9.694652,9.610985,9.526578,9.441486,9.3557625,9.269459,9.18263,9.095326,9.007602,8.919507,8.831095,8.742415,8.653522,8.564466,8.475304,8.386093,8.296898,8.207789,8.118857,8.030213,7.942009,7.8544607,7.767883,7.682751,7.599798,7.5201793,7.4458055,7.3802433,7.3321795,7.3321795,0,4.1791663,10.238303,15.201239,17.530174,18.50105,19.004103,19.36259,19.677427,19.979235,20.277344,20.574623,20.87194,21.169537,21.46745,21.765648,22.064083,22.362696,22.661423,22.960205,23.258982,23.557692,23.856272,24.154665,24.45281,24.750648,25.04812,25.345167,25.641727,25.937746,26.233162,26.527916,26.821943,27.115181,27.407555,27.698986,27.989376,28.278603,28.566498,28.85283,29.13726,29.419273,29.69808,29.972452,30.240463,30.499075,30.743462,30.965843,31.153065,31.279665,31.279665,0,8.358333,20.476606,30.402477,35.06035,37.0021,38.008205,38.72518,39.354855,39.95847,40.554688,41.149246,41.74388,42.339073,42.9349,43.531296,44.128166,44.72539,45.322845,45.92041,46.517963,47.115383,47.712543,48.30933,48.90562,49.501297,50.09624,50.690334,51.283455,51.875492,52.466324,53.055832,53.643887,54.230362,54.81511,55.397972,55.978752,56.557205,57.132996,57.70566,58.27452,58.838547,59.39616,59.944904,60.480927,60.99815,61.486923,61.931686,62.30613,62.55933,62.55933,7.982735,7.7173457,7.7813993,7.9936233,8.141373,8.234736,8.307528,8.373683,8.43766,8.500811,8.563544,8.625984,8.688169,8.750108,8.811805,8.873258,8.934465,8.995425,9.056137,9.116599,9.176807,9.236762,9.29646,9.355901,9.415083,9.474003,9.5326605,9.591055,9.649181,9.707041,9.76463,9.821947,9.878988,9.935751,9.9922285,10.048414,10.104298,10.159861,10.21508,10.269914,10.324299,10.378134,10.431261,10.483426,10.534225,10.58302,10.628789,10.669903,10.703696,10.7255125,10.7255125
12,122.07907,96.590454,70.819916,49.442017,35.627193,28.157055,24.329798,22.260237,20.992985,20.096504,19.38228,18.767723,18.215778,17.709095,17.238955,16.800497,16.390627,16.007086,15.648036,15.311871,14.99713,14.70246,14.426595,14.168346,13.926605,13.70033,13.488548,13.290354,13.104905,12.931419,12.7691765,12.617509,12.475804,12.343506,12.220104,12.105143,11.998211,11.898949,11.807045,11.722239,11.644318,11.573126,11.508563,11.450593,11.399252,11.354669,11.317093,11.286967,11.2650585,11.252764,11.252764,30.519768,24.147614,17.704979,12.360504,8.906798,7.0392637,6.0824494,5.565059,5.248246,5.024126,4.84557,4.691931,4.5539446,4.4272738,4.3097386,4.2001243,4.0976567,4.0017715,3.912009,3.8279676,3.7492826,3.675615,3.6066487,3.5420866,3.4816513,3.4250824,3.372137,3.3225884,3.2762263,3.2328548,3.1922941,3.1543772,3.118951,3.0858765,3.055026,3.0262856,2.9995527,2.9747372,2.9517612,2.9305596,2.9110794,2.8932815,2.8771408,2.8626482,2.849813,2.8386672,2.8292732,2.8217418,2.8162646,2.813191,2.813191,0,7.6348963,16.018427,23.38392,28.389494,31.288275,32.94783,33.99874,34.7643,35.391106,35.94333,36.449203,36.921524,37.366425,37.787144,38.185623,38.563217,38.921013,39.259964,39.58095,39.8848,40.172306,40.44424,40.70133,40.94428,41.173767,41.39043,41.594883,41.7877,41.96943,42.140583,42.30164,42.45304,42.595203,42.728493,42.853252,42.969772,43.078316,43.179092,43.272274,43.35798,43.436268,43.507156,43.570583,43.62641,43.674427,43.714306,43.745586,43.767605,43.77939,43.77939,0,15.269793,32.036854,46.76784,56.778988,62.57655,65.89566,67.99748,69.5286,70.78221,71.88666,72.89841,73.84305,74.73285,75.57429,76.37125,77.126434,77.842026,78.51993,79.1619,79.7696,80.34461,80.88848,81.40266,81.88856,82.347534,82.78086,83.189766,83.5754,83.93886,84.281166,84.60328,84.90608,85.19041,85.456985,85.706505,85.939545,86.15663,86.358185,86.54455,86.71596,86.872536,87.01431,87.14117,87.25282,87.348854,87.42861,87.49117,87.53521,87.55878,87.55878,8.477713,8.828475,9.367613,9.929007,10.360082,10.646539,10.841744,10.989945,11.114596,11.226453,11.33025,11.428093,11.520963,11.609361,11.693579,11.773818,11.850243,11.922996,11.992215,12.058033,12.120579,12.179978,12.236358,12.289838,12.340536,12.388569,12.434047,12.477075,12.517757,12.55619,12.592465,12.626671,12.658887,12.689189,12.717645,12.744316,12.769257,12.792515,12.814126,12.834121,12.852516,12.86932,12.884527,12.89812,12.910063,12.920304,12.928772,12.935369,12.939963,12.942384,12.942384
13,0,2.5637298,4.7043886,6.5213714,8.086064,9.45014,10.651756,11.719694,12.676094,13.538289,14.32007,15.03256,15.684844,16.284428,16.83757,17.349546,17.82483,18.267248,18.6801,19.06624,19.42816,19.76804,20.087803,20.389149,20.673588,20.942465,21.196991,21.438246,21.66721,21.884766,22.091715,22.288788,22.476646,22.655903,22.82711,22.990782,23.147385,23.29735,23.441069,23.578894,23.711132,23.838034,23.959764,24.076351,24.18758,24.292816,24.390644,24.478216,24.550045,24.595724,24.595724,0,0.64093244,1.1760972,1.6303428,2.021516,2.362535,2.662939,2.9299235,3.1690235,3.3845723,3.5800176,3.75814,3.921211,4.071107,4.2093925,4.3373866,4.4562073,4.566812,4.670025,4.76656,4.85704,4.94201,5.0219507,5.097287,5.168397,5.235616,5.2992477,5.3595614,5.4168024,5.4711914,5.5229287,5.572197,5.6191616,5.6639757,5.7067776,5.7476954,5.786846,5.8243375,5.860267,5.8947234,5.927783,5.9595084,5.989941,6.019088,6.046895,6.073204,6.097661,6.119554,6.1375113,6.148931,6.148931,67.2151,66.50124,65.9218,65.44243,65.03894,64.69418,64.39577,64.13453,63.903576,63.697617,63.512512,63.345005,63.19247,63.052784,62.924202,62.805286,62.69483,62.591827,62.49541,62.404854,62.319523,62.238873,62.162437,62.089798,62.02059,61.9545,61.89123,61.830536,61.77219,61.71598,61.66172,61.609238,61.55838,61.508995,61.460945,61.41411,61.36835,61.323563,61.279625,61.23644,61.193893,61.151913,61.110435,61.06945,61.029057,60.989525,60.951496,60.916275,60.88642,60.866848,60.866848,67.2151,65.86031,64.745705,63.812084,63.01742,62.331646,61.732826,61.204605,60.734554,60.31304,59.932495,59.586864,59.27126,58.981678,58.71481,58.4679,58.238625,58.025013,57.825386,57.638294,57.462482,57.296864,57.140488,56.99251,56.852196,56.71888,56.591984,56.470978,56.355385,56.24479,56.13879,56.03704,55.939217,55.84502,55.75417,55.666412,55.581505,55.499226,55.41936,55.341713,55.26611,55.192406,55.120495,55.05036,54.98216,54.91632,54.853836,54.79672,54.74891,54.71792,54.71792,6.7215104,6.7142177,6.7097898,6.7072773,6.7060456,6.705672,6.70587,6.706445,6.70726,6.7082186,6.7092533,6.7103148,6.711368,6.712389,6.7133594,6.7142673,6.715104,6.7158637,6.7165437,6.717141,6.717656,6.7180886,6.7184386,6.7187085,6.718899,6.7190113,6.719048,6.71901,6.7188993,6.718717,6.718465,6.7181435,6.717754,6.717297,6.7167726,6.7161803,6.71552,6.71479,6.7139893,6.713116,6.7121677,6.711142,6.7100377,6.7088537,6.707595,6.706273,6.7049155,6.703583,6.702393,6.7015777,6.7015777
