Af,Eaf,Ar,Ear,sigma
47.77623797652465,58467.16807487157,1763170.5748964,112095.01128979369,5.079082358363009
49.416263931872315,58088.62542527374,2453197.5169653073,113410.66370338656,5.751724738102089
39.89119717675483,58444.43383624951,510393.3357956051,104965.0122488675,5.703739368061296
43.70748082581464,58665.05317626829,1132011.7931774175,109911.52840352459,5.314246562640701
53.086856446181606,59218.66495045015,1942536.207095964,112669.0461521311,5.477546695277138
45.51885354575957,58230.21482471093,1896368.059750269,112496.39157299095,5.649574008833096
31.63256603966196,56575.0571433715,647744.3814235039,106297.27340407032,5.418036651966995
47.098737473683855,59262.13345159665,1230924.7574725987,110607.48969528596,4.848157804086682
41.25420002660043,57807.04107322165,1195121.316022219,109903.57401939757,5.124798776416044
21.979309537095418,54489.83248667617,473082.47073067783,104731.38977444633,4.462436770603564
21.979309537095418,54489.83248667617,473082.47073067783,104731.38977444633,4.462436770603564
28.8468428475175,55581.45710084633,738671.7567449396,106659.79735797629,4.444699696463747
24.069521460940244,54555.188867570556,435544.8452079699,103232.25381422894,5.238263994757761
45.413625017289455,57972.37148796391,1982425.681024037,112567.60416970619,6.240073993656326
21.995792003646148,54224.30992189012,524671.8244260096,105041.24709130923,5.579068445876809
38.3929063177389,58246.23257595347,680307.5326309369,107132.48896791105,5.611060431437572
41.142830945701455,58279.21561629804,813776.1764230224,107725.44376429706,5.07363339910142
26.968042320930422,56248.70811757269,568078.0866180307,106341.06592532159,5.235865692986985
41.97817266449541,58237.92405110261,1170073.8096108371,109904.04089249938,5.242134500822148
32.779192452873865,56903.739557669825,646551.8557671799,106460.10124888577,5.052152452260219
33.936541496007564,56725.07925828291,1089957.9013000105,109240.40808870959,5.960650857245348
36.55853431845787,57447.42348870261,954291.594313845,108781.78826081302,5.575888776376099
47.370288722565775,58490.76558375252,1426436.5025022633,110544.37307238672,5.625526256490738
42.68494127160853,58433.3334356607,1120928.015237165,109659.56550887856,5.9005654844475925
34.40073002906346,57446.33384591303,784970.6334162711,107822.70231479252,5.356282698633495
32.26463125006991,56726.306420416564,674093.0304273872,106514.28400137376,5.8059506057439325
27.78869176390132,55968.83412920023,595349.4543017566,106154.61215430123,5.859377079222918
27.863994925573486,55654.525234468776,521828.4490985028,104804.27094531314,5.965346924264543
30.533849273170926,56432.68023007015,698158.8794587196,106942.05917504006,5.08480756026049
30.80786263669053,56042.690529990876,779514.9879162352,106931.53126842018,5.0616537102512495
33.804609265693614,56557.538393283634,991233.0977919383,108502.78142362271,5.242669248685643
32.26463125006991,56726.306420416564,674093.0304273872,106514.28400137376,5.8059506057439325
30.64740811781731,56488.696680806956,656581.7249129715,106381.06775469285,5.725190249909526
30.30228750830756,56500.598287926434,606807.6773465102,106291.52051516804,5.44457963957916
24.756156354558485,55579.05637650199,442984.9256734946,104778.04559157613,5.850421407457554
31.517137349674286,56576.64007094958,803726.8040921331,107593.76806777193,5.035882973921202
33.83772671910827,57148.23767448739,993446.9669206594,109547.3519983629,5.4102727984781565
34.945864207882536,57085.056303473066,784354.9449730082,107431.98768373577,5.499041588277614
37.789018564947774,57991.174193722145,656929.4209087298,106366.19565261327,5.890915310176673
33.74581083221747,56690.59625146804,831779.4098183139,107465.51314959906,4.917035544612845
32.634789264961135,56869.31472739738,677708.1649815752,106535.38231956665,5.268069881369949
37.88773721892747,57549.89063541607,968585.906019163,108665.86051878339,5.237744200692904
45.46340677277664,58946.16169817629,1306416.1308574348,111050.05812153693,4.794352114589265
41.76820042770872,57875.04041094725,1222349.6692133215,109749.77445675508,5.472281660583532
32.302331895007214,56231.009562125466,1084111.2395773614,109196.87883639429,5.253154481749063
32.302331895007214,56231.009562125466,1084111.2395773614,109196.87883639429,5.253154481749063
27.579375150192934,56200.912508264955,503749.46210126654,105358.75176819945,5.68240849108683
25.649100805968207,55454.56065551361,455968.7325615114,104201.45837827984,5.977101770089047
28.45546460845392,55947.167424929256,652446.8452483488,106615.6642094862,5.638693528538001
31.0349867095943,56575.762501227364,453567.6188642735,103942.57551979365,6.130382634506333
22.72770938681147,55523.52805655606,356989.55840766116,103847.32470776579,6.068662164805709
22.72770938681147,55523.52805655606,356989.55840766116,103847.32470776579,6.068662164805709
31.74586220543319,56912.7918548846,592342.5346287595,106097.89760425824,5.85364548864631
32.2036900599388,56846.64144401326,688371.33337667,107022.81055458944,5.568724603605764
23.626878584307665,55456.84158022424,380066.40934613004,104000.44312050374,6.260848568428106
22.892059810336313,54865.52133219213,436520.62413758424,104162.07236204854,5.898172745981312
31.09539678386862,56709.315345782445,524125.98621854617,104958.31699328864,5.9645378155435065
27.884276346138563,55998.04845131152,555352.7741822004,105627.3603254977,6.305158307390796
22.46247269051828,55587.14573741648,327558.4373154249,103343.87490275291,6.121789309746517
26.124103329352508,55854.7587799005,409151.0265049306,103659.60311580508,6.3878151916373636
31.787227328936392,56498.65592891447,503490.1415723723,104515.70025290367,6.125490944508257
29.651031689912372,56119.16081910975,849021.782244683,108109.03612237892,5.893773218966241
37.004849065231895,57300.18385581631,1008972.728092029,108736.17612651414,5.71507700064153
32.256405271825784,56884.70967056807,578745.1932477808,105501.5605514548,5.322850745657478
31.86544262012745,56588.506306773226,548749.3803518952,105062.93842579058,5.770614060727639
34.27322462665343,57411.93773806478,674953.2322670049,106936.26639784532,5.774451911589349
27.848225741355915,55853.97776850291,493085.5514467114,104669.72526861163,5.241900045535405
27.848225741355915,55853.97776850291,493085.5514467114,104669.72526861163,5.241900045535405
39.16186205729848,57992.80421701154,849233.8685543964,108069.97096484406,5.161148217544715
32.86169188059276,56584.77915851888,709740.2544748535,106540.55301175479,5.580788694246079
24.334047606800564,55864.06322668594,337948.72974409605,103027.89603685703,6.263046378674443
44.00183116670796,58768.1879873769,1005463.5375116586,109226.6229075492,5.070656905422714
25.462359657483006,55858.395281800964,394185.73060516047,103904.61473434567,6.090017003458985
26.49502993718023,55803.5012593833,469387.9334877853,104557.3363408772,6.09537005509161
26.176341014425155,55636.6948255919,425009.631066639,103760.1627097443,6.394163276695142
31.197119999908665,56533.751816313605,521445.5730023832,104550.30876065807,5.849378523730577
27.64928331120669,56036.69692221971,474790.3620398065,104669.09851725677,6.138403297747345
29.15482935473977,56599.97469405979,391291.62800982496,103286.43729634325,6.145275219617594
28.379538030388595,56304.5909143809,430692.101961852,104201.33713973132,6.326013956003429
24.958616265446306,55679.08172778401,453933.98874161125,104781.75912326986,5.72780930110777
30.30172749483505,56492.73959867056,491189.81522720633,104459.591079979,6.088044493785379
28.672611526945495,55816.15898966594,587367.6545301911,105421.90035651118,5.102481026025731
29.153079398332697,56063.784626207074,557369.8829027738,105311.35659453085,4.980983324482415
36.057815923138065,57145.97331813372,982849.4815158604,108663.06107931153,5.201306741001552
29.649496796195443,56454.16225635581,430452.463235958,103817.135482373,6.301456157208149
38.919551105874994,58384.73248596645,511500.5932745938,105190.95050063253,5.822537838312574
33.01494248820709,56885.33719441857,686626.6563598879,106621.0478750631,5.568522784095172
31.464333339563545,56830.533508671644,497151.5909879387,105008.70131286212,5.71845625591105
25.88107749301203,55968.90179364301,354090.6220270571,103165.38563386461,6.252551946475388
27.318450246523312,55968.198784978085,452484.66771831847,104338.94643147461,6.049173518245309
23.02054000984852,55344.36696389493,378893.2686861554,103948.89587616251,5.876825978505353
22.327605113275865,55307.46738107281,381489.4409023107,104061.10610709236,5.662295689146056
25.686300333120847,55732.766818065116,444174.81495714636,104381.38411602276,5.3296869350882625
33.629660255962904,57139.95823644244,670243.6319861262,106583.83482711815,4.808797421242592
37.47782831045947,57550.29531601303,771399.1196215426,107355.89892962987,4.700866158755216
27.607020719548878,55884.23308918801,490156.92721914593,104618.6363769949,5.091975032290954
26.545489567876018,55783.716792865904,454332.9485120091,104330.7104528465,5.2531481219228695
20.146772316653994,54813.64181686779,309825.001487307,102823.15105898508,6.060976481456086
24.89671099914935,55505.40335611201,406747.7181142819,103722.2809519579,6.061865589474566
25.136625916622336,55444.17982320499,477236.92239812954,104606.83459311447,5.845279166562403
22.386492531661748,55184.23198048199,323706.70768677193,102726.36307190717,6.439994778886175
24.035515552639374,55402.300198154924,434478.24744639895,104282.87680096278,5.881261297164251
22.090586492052367,54863.91384331718,361028.38286399964,103525.75135746712,5.704083334816695
33.399483797368234,57070.52310466126,614511.5083984043,106231.89436881484,5.542433689868378
27.560291903996426,56039.90524981848,382920.0486262002,103367.27661023918,6.457545438141591
27.59682717466529,55984.613955428365,435191.7559998015,103984.48186044289,6.055783682415816
26.124103329352508,55854.7587799005,409151.0265049306,103659.60311580508,6.3878151916373636
24.377940900877107,55558.84386262981,445912.93482250895,105058.99718405737,5.773592098901967
27.03647035284002,56119.93175863942,439511.07507795194,104190.84367137037,6.423160446381391
27.38613579736605,56024.97102872848,591571.5689508468,106153.17643499286,5.495006223670769
28.540887833953462,56128.803408686814,619175.7547728283,106350.70871063069,5.501771108284021
29.57164224750607,56240.10023100582,663252.743274573,106553.03968137404,5.790393692747655
21.849472763105396,55122.683113854735,329816.7391546994,103037.20096115996,6.146290430664671
33.26021542908599,56783.058261426566,861679.5259205685,108091.45042784582,5.499275445783699
25.151739085200923,55632.09420788636,454708.0984194288,104750.29031480751,5.472758164987503
43.40869402245164,58742.473630532826,1073749.9906299496,109738.30303163444,4.879230089951781
38.55930998989081,57622.846290683876,1039881.4700892051,109029.84716890383,4.765708402895217
26.124103329352508,55854.7587799005,409151.0265049306,103659.60311580508,6.3878151916373636
30.17004767155538,56265.863991111466,679474.622493411,106861.5245278782,5.344367734934141
36.33390912949753,57446.28271392972,739138.1944011841,107107.88552470745,5.086813869303953
26.522551387419337,55782.88497858291,447779.50629374094,103995.4200423933,6.1950616751340135
26.124103329352508,55854.7587799005,409151.0265049306,103659.60311580508,6.3878151916373636
29.52512314310732,56506.00811041488,542138.4965350585,105580.4613726906,5.983549849564579
28.53684888256339,56290.65611500141,548935.3487437549,105734.11293565539,5.917975127202907
34.248609344334874,56893.75477092155,906268.8450758689,108376.01430952147,4.982272200889143
